"Story","Title","Result","Date","Stability","Duration (s)"
"Game get test","Getting all jackpot Information","SUCCESS","2023-06-11T21:25:49.934+01:00[Europe/London]","0.0","3.48"
"Game get test","Verify if currency is GBP","SUCCESS","2023-06-11T21:25:53.440+01:00[Europe/London]","0.0","0.64"
